Feature,Importance
is_active_member,0.32513928
single_product_flag,0.12821692
num_products,0.056964938
net_banking_active,0.0545174
has_loan,0.050685503
has_credit_card,0.04601866
churn_risk_score,0.03106301
financial_stress_flag,0.029153116
num_complaints,0.025217632
credit_engagement_mismatch,0.02270668
digital_engagement_score,0.019833956
loan_default_history,0.017846879
age_group,0.014066156
gender,0.0125160795
high_churn_risk,0.011239316
complaint_risk_score,0.009138038
age,0.008533683
low_digital_activity,0.008105182
customer_value,0.007845927
estimated_salary,0.0075583057
geography,0.0073432103
products_per_tenure,0.0073396056
age_tenure_ratio,0.007325738
balance_salary_ratio,0.0073213945
revenue_at_risk,0.0072297165
mobile_app_logins_monthly,0.0072148093
last_interaction_days_ago,0.0071487157
priority_score,0.0071394835
tenure_years,0.007077032
avg_transaction_amount,0.007042971
account_balance,0.0070141675
branch_visits_year,0.0070093577
num_transactions_6m,0.006941166
wealth_tier,0.006888305
emi_to_income_ratio,0.006860469
credit_score,0.006737227
zero_balance_flag,0.0
high_value_customer,0.0
